procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  84524  64544  74160    0    0    44    74   22   24  1  0 99  0  0
 0  0      0  84540  64544  74176    0    0     0     0   17   14  0  0 100  0  0
 0  0      0  84540  64544  74176    0    0     0     0    6   12  0  0 100  0  0
 0  0      0  84540  64544  74176    0    0     0     0    7   12  0  0 100  0  0
 0  0      0  84540  64544  74176    0    0     0     0    6   13  0  0 100  0  0
 0  0      0  84540  64552  74168    0    0     0    56   12   21  0  0 100  0  0
 0  0      0  84540  64552  74168    0    0     0     0   12   39  0  0 100  0  0
 0  0      0  84540  64552  74176    0    0     0     0    7   12  0  0 100  0  0
 0  0      0  84540  64552  74176    0    0     0     0   10   11  0  0 100  0  0
 0  0      0  84540  64552  74176    0    0     0     0    7   13  0  0 100  0  0
 0  0      0  84540  64560  74168    0    0     0    16   14   21  0  0 99  1  0
 0  0      0  84540  64560  74176    0    0     0     0    6   12  0  0 100  0  0
 0  0      0  84540  64560  74176    0    0     0     0    7   11  0  0 100  0  0
 0  0      0  84540  64560  74176    0    0     0     0    7   13  0  0 100  0  0
 0  0      0  84540  64560  74176    0    0     0     0    7   12  0  0 100  0  0
 0  0      0  84540  64568  74168    0    0     0    16   12   22  0  0 100  0  0
 0  0      0  84540  64568  74168    0    0     0     0   11   13  0  0 100  0  0
 0  0      0  84540  64568  74176    0    0     0     0    6   13  0  0 100  0  0
 0  0      0  84540  64568  74176    0    0     0     0    7   11  0  0 100  0  0
 0  0      0  84540  64568  74176    0    0     0     0    6   14  0  0 100  0  0
 0  0      0  84540  64576  74168    0    0     0    16   15   23  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  84540  64576  74176    0    0     0     0   11   12  0  0 100  0  0
 0  0      0  84540  64576  74176    0    0     0     0    6   12  0  0 100  0  0
 0  0      0  84540  64576  74176    0    0     0     0   10   14  0  0 100  0  0
 0  0      0  84540  64576  74176    0    0     0     0    6   13  0  0 100  0  0
 0  0      0  84540  64584  74168    0    0     0    20   17   23  0  0 100  0  0
 0  0      0  84540  64584  74168    0    0     0     0    9   13  0  0 100  0  0
 0  0      0  84540  64584  74176    0    0     0     0    8   12  0  0 100  0  0
 0  0      0  84540  64584  74176    0    0     0     0   10   14  0  0 100  0  0
 0  0      0  84540  64584  74176    0    0     0   164   32   13  0  0 100  0  0
 0  0      0  84540  64592  74168    0    0     0    24    9   20  0  0 100  0  0
